page	section	subsection	title	inscription	comments	
3	饪食器铭文	鼎	上林鼎（一）	上林十涑铜鼎，容一斗，并重十斤。阳朔元年六月庚辰，工夏博造。四百合。 第百一十七。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。铭文“十斤”，《贞松堂集古遗文补遗》卷 下、《历代著录吉金目》贸883上栏作“七斤”。涑，与“炼”之繁体“煉”同声旁，故 相通。下同。又阳朔为西汉成帝年号（阳朔元年为前24年），此为西汉物。	
3	饪食器铭文	鼎	上林鼎（二）	上林铜鼎，容二斗，并重十六斤六两。阳朔二年三月，工李骏造。五百合。第 二百九十八。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。又见《中国国家博物馆馆刊》2015, 8？104, 尚有盖铭“上林苐十六”五字，《汉金》《金文续编》皆漏录。西汉成帝阳朔二年为 前23年，此为西汉物。	
3	饪食器铭文	鼎	上林鼎（三）	上林。第二百六十。（盖）上林铜鼎，容一 [^]，!！]重九斤十两。阳朔二年三月，工错骏造。七百合。第四百。（器^《汉金》卷一）	整理者案：本篇亦见《金文续编》。《憲斋集古录》卷十三、《历代著录吉金目》 页878上栏录本篇，“工”作“士”，“七百”作“十百”。又《憲斋集古录》盖铭置于 器铭后。又西汉成帝阳朔二年为前23年，此为西汉物。	
3	饪食器铭文	鼎	上林鼎（四）	上林铜鼎，容一斗，并重七斤。鸿嘉二年六月，工左恽造。四百合。第四。(《续编》）	整理者案：《续编》，即《金文续编》。《贞松堂集古遗文》卷十三、《历代著录吉 金目》页875下栏“一斗”作“一升”。又鸿嘉为西汉成帝年号（鸿嘉二年为前19 年入此为西汉物。	
4	饪食器铭文	鼎	上林鼎（补）	上林供官铜鼎，具盖重八斤十三两，工史揄造。监工黄，佐李负刍。	整理者案：据《历代钟鼎弈器款识》卷十八补。薛尚功曰：“右铭不知所从得。 铭有‘监工李负刍’，按后汉绝无二名者，此鼎盖西汉器也。”《金索》卷一本篇题作 “上林铜鼎铭”，铭文“供”字，所附图片作“共”；“十三”作“十二”；“揄”作“榆”。 本篇又见《历代著录吉金目》页874上栏，“十三”、“揄”同《金索》。又邃古斋藏本 《金索》未录本篇。	
4	饪食器铭文	鼎	上林铜鼎（一）	上林铜鼎，容一石，并重六十斤。鸿嘉二年六月，工李音造。五十合。第十 一。（《考古》丨963, 2； 13号）	整理者案：西汉成帝鸿嘉二年为前19年。	
4	饪食器铭文	鼎	上林铜鼎（二）	上林铜鼎，容三斗，并重廿四斤。鸿嘉二年六月，工左恽造。二百合。第五。 (器)上林。第百七十二。（盖^《考古》1963.2；〗5号）	整理者案：“三斗”之“三”字，《秦汉金文汇编》上编作一阙文号。又西汉成帝 鸿嘉二年为前19年。	
4	饪食器铭文	鼎	上林铜鼎（补）	上林铜一斗鼎，并重九斤十四两。绥和二年二月，工李造，啬夫钦省。（器）上 林。（盖^《中国国家博物馆馆刊》2015.8^1⑴）	整理者案：王卉《汉代铜器铭文汇总》（见《汉代铜器铭文词语通释与研究》附 录一。以下并同，不再说明）据《中原文物》2004, 4？18收本篇，脱“十四”下之 “两”字及盖铭“上林”二字。又绥和为西汉成帝年号（绥和二年为前7年），此为 西汉物。	
4	饪食器铭文	鼎	上林铜鼎（补）	上林，第廿三。元康二年,供工工广汉造。啬夫安国、佐可、护广汉主，令广 都、右丞林省。骀场上。	整理者案：据《秦汉金文汇编》上编补。元康为西汉宣帝年号（元康二年为前 64年），此为西汉物。	
5	饪食器铭文	鼎	龙渊宫鼎（补）	龙渊宫铜品，容一斗五升，并重十斤，元朔三年工禹造。守啬夫掾成、令光、尉 定省。（器）龙渊宫，弟六十二。（盖）	整理者案：据《金文续编》补。《历代著录吉金目》页882上栏录本篇，篇题 “晶”上有“铜”字，铭文“成”作“戌（《贞松堂集古遗文补遗》卷下缺盖铭七字。 又元朔为西汉武帝年号（元朔三年为前丨26年），此器为西汉物。	
5	饪食器铭文	鼎	邵宫私官鼎（补）	邵宫私官四斗，少半斗。私工工感。	整理者案：据《秦汉金文汇编》上编补。	
5	饪食器铭文	鼎	侈耳鼎（补）	么方司正。	整理者案：据《历代钟鼎彝器款识》卷十八补。薛尚功曰：“右铭藏新平张氏。 铭云‘厶方司正’，不知何谓也。”《积古斋钟鼎彝器款识》卷九题作“司正冻”。《积 古斋》曰：“此即薛氏《款识》所栽《侈耳鼎》也。侈耳，据形制为名。《诗》毛传云： ‘小鼎谓之冻。’《尔雅》云：‘圜弇上谓之蔴。’今未见其器，不能强说。”	
5	饪食器铭文	鼎	高奴鼐（补）	高奴。	整理者案：据《历代钟鼎彝器款识》卷十八、《考古图》卷九补。《考古图》原 注:“按此器铭曰‘高奴’，工郡地名也。”	
5	饪食器铭文	鼎	永始乘舆鼎（一）	乘舆十涑铜鼎，容一斗,并重十斤四两。永始二年，考工林造，护臣博、守佐 臣褒、啬夫臣康、掾臣朋主，守右丞臣口、守令臣立省。第一。（器、盖同文“《汉 金》卷一）	整理者案：本篇亦见《金文续编》。铭文“口”作“闳”。《历代著录吉金目》页 895下栏、王卉《汉代铜器铭文汇总》“朋主”作“开主”（以“朋”与“开”之繁体 “開”形近。下同），又“口”亦作“闳”。篇题，《历代著录吉金目》无“乘舆”二字。 又永始为西汉成帝年号（永始二年为前15年），此为西汉物。	
5	饪食器铭文	鼎	永始乘舆鼎（二）	乘舆十涑铜鼎，容一斗,并重十斤四两。永始二年，考工^林造,护臣博、守佐 臣褒、啬夫臣康、橡臣朋主，守右丞臣口、守令臣立省。第六十二。（《汉金》卷一） 	整理者案：本篇亦见《金文续编》。铭文“口”作“闳”。《历代著录吉金目》页896上栏、王卉《汉代铜器铭文汇总》“朋主”作“开主”，“口”亦作“闳”。又西汉成 帝永始二年为前15年，器物年代为西汉。	
6	饪食器铭文	鼎	永始三年乘舆鼎	乘舆十涑铜鼎，容二斗，并重十八斤。永始三年，考工^蒲造，佐臣立、守啬夫 臣彭、掾臣朋主，守右丞臣光、令臣禁省。第二百八十。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。篇题，《历代著录吉金目》页895下栏作 “乘乐鼎”。王卉《汉代铜器铭文汇总》“朋主”作“开主”，而《秦汉金文汇编》上编 所收图版亦不似“朋”字。又《历代著录吉金目》于“第二百八十”下有“又铭旁刻 西酉鼎”七字。西汉成帝永始三年为前14年，此为西汉物。	
6	饪食器铭文	鼎	寿成室鼎（一、二）	寿成。第廿至卅。（盖）寿成室铜鼎，容一斗二升，并重十二斤六两。元延二 年，少府真为内者造，守啬夫福、掾建、令相省。（器^《汉金》卷一）	整理者案：本篇亦见《金文续编》。篇题，《陶斋吉金录》卷五、《历代著录吉金 目》页889上栏皆无“室”字。此器又见《中国书法全集》第九册页46图30。此器 出土地点未详。《中国书法全集》第九册页188图版说明30曰：“‘寿成室’即‘寿 成殿’。据《汉金文录》载，寿成室鼎共二件，刻文内容相同，此件更趋纤细柔润。 书体为繆篆，与汉印所用书体类同。”元延为西汉成帝年号（元延二年为前丨1年）， 此器为西汉物。	
6	饪食器铭文	鼎	元延乘舆鼎（一）	乘舆十涑铜鼎,容一斗，并重十一斤三两。元延三年，供工^彊造,护臣武、啬 夫臣彭、兼掾臣丰主，守右丞臣放、守令臣赛省。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。“丰主”之“丰”，《贞松堂集古遗文》卷十 三、《历代著录吉金目》页893上栏、《秦汉金文汇编》上编所录图版作“豊”，当据 改。“丰”之繁体“豐”与“豊”形近，故致误。西汉成帝元延三年为前丨〇年，此器 为西汉物。	
6	饪食器铭文	鼎	元延乘舆鼎（二）	乘舆十涑铜鼎，容五升，并重十斤十五、两。元延三年，考工^方为中私官造, 佐臣彭、守啬夫臣褒、掾臣孝主，右丞臣谭、守令臣广世省。（《汉金》卷一）	"整理者案：本篇亦见《金文续编》，铭文“十五两”作“五两""。又西汉成帝元延 三年为前10年，此器年代为西汉。"	
6	饪食器铭文	鼎	上林铜斗鼎	上林。（盖）上林铜斗鼎，重九斤三两。元始四年九月，口口口造。（器八《文物》1995.8）	整理者案：元始为西汉平帝年号（元始四年为4年），此器为西汉物。	
7	饪食器铭文	鼎	汝南郡鼎	汝南郡。第卅。（盖）汝南郡铜簡，容六斗,并重八斤三两。永平十三年，工李 口造，守啬夫口、令口、左尉守、丞相省。（器八《汉金》卷一）	整理者案:本篇亦见《金文续编》。永平为东汉明帝年号（永平十三年为70 年），此器为东汉物	
7	饪食器铭文	鼎	云阳鼎	云阳，一斗，九斤三两。餐者尚口。五十六。今安陵，一斗，六斤二两。元年 四月受云阳厨。第五十六甲。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《塞斋集古录》卷十三录本篇，“六斤二两” 作“六斤三两”。又铭文但云“元年”，则此器应为西汉武帝建元前物。	
7	饪食器铭文	鼎	长杨五年鼎	长杨共鼎,容一斗。五年造。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。篇题，《葱斋集古录》卷十三、《陶斋吉金 录》卷五皆无“五年”二字。《陶斋吉金录》《贞松堂集古遗文》卷十三皆无“五年 造”三字。《贞松堂集古遗文》尚录有此器盖文，曰“长杨共鼎容一斗”七字。又铭 文但云“五年”，则此器应为西汉武帝建元前物。	
7	饪食器铭文	鼎	长杨鼎（补）	长杨共鼎，容一斗。（又二。盖器同文）	整理者案:据《金文续编》补。《历代著录吉金目》页827上栏录本篇，则无注 文“又二盖器同文”六字。	
7	饪食器铭文	鼎	汝阴侯鼎	女（汝）阴侯鐦（鼎），容一斗四升，重十斤五两十二朱（铢V。六年，女（汝）阴 库守欣、工口造。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《金文续编》《历代著录吉金目》页877上 栏“欣”作“訢”。又“朱”假借为“铢”。本篇但云“六年”，则器物应为西汉武帝建 元前物。	
7	饪食器铭文	鼎	哪偏鼎	郦偏鼎,容一斗，并盖重十二斤二两。十三年，工变造。第二鼠。今大官。今 七年。第五百一十四。今镐，上林华阳。六。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《贞松堂集古遗文》卷十三篇题作“大官 鼎”。“今大官”三字，《贞松堂集古遗文》《金文续编》《历代著录吉金目》觅892上 栏、《秦汉金文汇编》上编在“郦偏”下。“今镐上林华阳六”七字，《金文续编》《历 代著录吉金目》置于“今大官”下。又《历代著录吉金目》无“今七年”三字。铭文 但云“十三年”、“今七年”，则此应为西汉武帝建元前物。	
8	饪食器铭文	鼎	大官鼎（补）	今镐，上林华阳。六。郦偏今大官鼎，容一斗，并盖重十二斤二两。十三年， 工变造。第二鼠。第五百一十四。	整理者案：据《历代著录吉金目》页883下栏补。铭文但云“十三年”，则此应 为西汉武帝建元前物。	
8	饪食器铭文	鼎	铜鼎	铜鼎一，容五升，有盖,并重四斤一两。四年二口口口家。第廿一。（《汉金》 卷七）	整理者案:《贞松堂集古遗文续编》卷下“二口口口家”作“工口口口口口口”, 《历代著录吉金目》页867上栏脱“二口口口家”中三个阙文号。铭文但云“四 年”，则此应为西汉武帝建元前物。	
8	饪食器铭文	鼎	素鼎（补）	铜鼎，容二斗，重十一斤。（器）铜鼎，重二斤六两。（盖）	整理者案：据《积古斋钟鼎弈器款识》卷九补。《历代著录吉金目》页830下栏 亦题作“素鼎”，铭文“容二斗”作“容二升”。又《积古斋》未区分器铭与盖铭，而 《历代著录吉金目》明确加以区分，今从而补“器”、“盖”字。	
8	饪食器铭文	鼎	安邑宫铜鼎	安邑宫铜鼎一,容三斗，重十七斤八两。四年三月甲子，铜官守丞调、令史德、 佐奉常、工乐造。第卅一。（《文物》1982.9）	徐按:原报告认为“佐奉常”乃奉常的辅佐机构，误。“佐”为官名，“奉常”乃 人名。铭文但云“四年”，则此应为西汉武帝建元前物。	
8	饪食器铭文	鼎	食官鼎	食官鼎盖一，重九斤十两。廿九年，效见。卅年。五。（《考古》1994.4）	整理者案：铭文但云“廿九年”，则此应为西汉武帝建元前物。	
8	饪食器铭文	鼎	长乐鈥官鼎	长信,丁口口斤口两。（盖）市。（左耳）十年夏输，容一斗六升，重廿四斤。大官。四百六十一。今长乐鈦官。今元年，长宁私官。第六十九。十六年。长信 食詹。尝。（器^《考古与文物》〗98〇, 〇	整理者案：王卉《汉代铜器铭文汇总》脱“飲官”之“官”字。铭文但云“元年”、 “十六年”，则此应为西汉武帝建元前物。	
9	饪食器铭文	鼎	楚大官厨鼎	楚大官厨，有盖，并重十三斤十三两，一斗五升。八十二。今十年，左鼎。第 十一。今好畤共厨金鼎，容一斗五升，重九斤廿两。第百一十。七年。第二百八 十六。口口口安。（《考古与文物》1994.4）	徐按:“畤”原报告误释为“时”。整理者案：“时”之繁体“時”与“畤”形近，故 致误。铭文但云“七年”、“十年”，则此应为西汉武帝建元前物。	
9	饪食器铭文	鼎	安定郡库鼎	安定郡库鼎一,容二升，重十八斤。二年，冶偷铸。（盖）安定郡库鼎一，容二升，重十八斤。二年，冶工偷铸。（器“《考古与文物》 1992. 〇	"徐按:“升""、“铸”原报告分别误释为“斗”、“镌""。整理者案：王卉《汉代铜器 铭文汇总》未录盖铭。铭文但云“二年”，则此应为西汉武帝建元前物。"	
9	饪食器铭文	鼎	朝那鼎	第廿九。五年，朝那，容二斗二升，重十二斤四两。今二斗一升。乌氏。今二 斗一升，十一斤十五两。（《文物》1982.12）	整理者案：铭文但云“五年”，则此应为西汉武帝建元前物。	
9	饪食器铭文	鼎	剌庙鼎（一）	剌庙铜鼎一，容斗五升，有盖，并重十四斤四两。长沙元年造。第一。（《古文 字研究》第十九辑）	整理者案：查《古文字研究》第十九辑周世荣《湖南战国秦汉魏晋铜器铭文补 记》一文，乃题曰“长沙元年铜鼎”，铭文无“造”字。周世荣曰：“铜鼎铭文还书有 ‘刺庙铜鼎’等字样，据《汉书》记栽，《景帝十三王传》中，长沙王刘建德谥号为剌 王，此物当属西汉刺王建德的祭器。”又汉景帝（前元）元年（前156）复置长沙国， 则长沙元年为前156年。下同。	
9	饪食器铭文	鼎	剌庙鼎（二）	剌庙铜鼎一，容斗五升，有盖，并重十五斤六两。长沙元年造。第三。（《古文 字研究》第十九辑）	徐按:“ 一”原报告漏释。整理者案：据上篇，此为西汉长沙王刘建德的祭器。	
10	饪食器铭文	鼎	宗庙铜鼎	口口宗庙金（丨）鼎……两。元年口。（《古文字研究》第十九辑）	徐按：原报告“两”字未释出，“两”后亦未加标点。整理者案：铭文但云“元 年”，此器当为西汉物。	
10	饪食器铭文	鼎	长杨鼎（一）	长杨共鼎，容一斗。（《汉金》卷一）		
10	饪食器铭文	鼎	长杨鼎（二）	文同前。（盖、器文同^《汉金》卷一）		
10	饪食器铭文	鼎	西鼎	西。（盖、器文同“《汉金》卷一）	整理者案：亦见《陶斋吉金录》卷五及《金文续编》。	
10	饪食器铭文	鼎	五鼎	五。（阳文“《汉金》卷一）		
10	饪食器铭文	鼎	中曾鼎	中曾。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
10	饪食器铭文	鼎	大官鼎	大官。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
10	饪食器铭文	鼎	府鼎	府。美阳。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《陶斋吉金录》卷五所附拓片，“美阳”二字 甚模糊。	
10	饪食器铭文	鼎	苏季儿鼎	苏季儿。（《汉金》卷一）	整理者案：《秦汉金文汇编》上编所收图版“儿”下尚有一字，轮廓模糊不清， 不可识。本篇亦见《金文续编》，但“儿”作“充”“充”为古“貌”字）。	
10	饪食器铭文	鼎	日利千金鼎（补）	曰利千金。	整理者案：据《山左金石志》卷二补。《山左金石志》曰：“右鼎在滋阳牛运震家。铭篆四字，曰‘日利千金’。按《周易》六十四卦取象于鼎者，以其圜象阳，方 象阴，三足象三公，四足象四辅，黄耳象才之中，金核象才之断。其器重，其体备， 不特以木巽火为养人之具而已，故其铭或纪君赐，或扬祖德，即间有颂祷之词，亦 不过祈眉寿、保子孙等语，安有廊庙礼器犹规规于千金者？直断为汉末估客之所 造可也。”	
11	饪食器铭文	鼎	汉兒鼎（补）	明口鼎。兒。	整理者案：据《西清古鉴》卷七补。《西清古鉴》曰：“兒，通倪，姓也。……鼎 其倪氏制耶？”	
11	饪食器铭文	鼎	襄成鼎（补）	襄成阴口尚。	整理者案:据《贞松堂集古遗文》卷十三补。此鼎其余诸家未收。	
11	饪食器铭文	鼎	卢氏鼎	卢氏厨。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
11	饪食器铭文	鼎	雍一斗鼎	雍,一斗。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《金文续编》《秦汉金文汇编》上编所收图 版“雍”皆作“雖”，当据改。	
11	饪食器铭文	鼎	乌氏鼎	乌氏，一斗，六斤。（耳）乌氏，一斗，口斤。（盖八《汉金》卷一）	整理者案：本篇亦见《金文续编》。《金文续编》耳铭“六斤”在“一斗”上，盖铭 无阙文号。《贞松堂集古遗文》卷十三、《历代著录吉金目》页813下栏“口斤”下 皆有“盖”字，据增。又《历代著录吉金目》耳铭“一斗”在“六斤”下。	
11	饪食器铭文	鼎	黄山鼎	黄山共鼎，容一斗。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页822下栏篇题作“黄 山共鼎”。	
11	饪食器铭文	鼎	平陆鼎	平陆，一斗少半斗。（《汉金》卷一）	整理者案：衣篇亦见《金文续编》。《历代著录吉金目》页819上栏“半斗”作“半升”。疑是。	
12	饪食器铭文	鼎	柴是鼎	柴是，一斗。范阳侯。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。“是”通“氏”。	
12	饪食器铭文	鼎	偃鼎	偃……容一斗一升半。（《汉金》卷一）	徐按:“偃”与“容”之间有几个字已泐，容氏未加“……”。整理者案：徐按中 所言“容氏”，即“容庚”。本篇亦见《金文续编》。	
12	饪食器铭文	鼎	一合鼎	口口鼎一合，重十斤，容一斗。（《汉金》卷一）	徐按：容氏注：“商承祚云首二字疑是承安。”首字似“承”，第二字不可辨。整 理者案：本篇亦见《金文续编》。	
12	饪食器铭文	鼎	杨氏鼎	杨氏，十三斤十四两。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
12	饪食器铭文	鼎	阴密鼎（一、二）	阴密，三升，二斤十两。（《续编》）	整理者案：《续编》，即《金文续编》。《贞松堂集古遗文》卷十三、《历代著录吉 金目》页827上栏“十两”皆作“七两”。	
12	饪食器铭文	鼎	阴密鼎（补）	阴密，一斗四升，七斤六两。	整理者案：据《贞松堂集古遗文》卷十三补。又见《金文续编》。	
12	饪食器铭文	鼎	外黄鼎	外黄，五斤四两，容一斗。十三。（《汉金》卷七）	整理者案：本篇亦见《金文续编》。	
12	饪食器铭文	鼎	泰官鼎	泰官，二斗，十一斤。右般中。（《汉‘》卷一）	整理者案：本篇亦见《金文续编》。“般”字，《秦汉金文汇编》上编未释，然其 所收图版清晰可辨，不当漏释。	
12	饪食器铭文	鼎	宣曲鼎	甲。宣曲，六斤，八升半升。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。又见《中国国家博物馆馆刊》2015. 8？115,“八升”作“一升”。	
13	饪食器铭文	鼎	大卫无极鼎	大卫无极铜五升鼎。第八。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。、	
13	饪食器铭文	鼎	临菌鼎	临菌，斗五升，十一斤十两。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
13	饪食器铭文	鼎	栎鼎	栎厨。九。临晋,一斤十三两。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页836上栏题作“栎厨鼎，、	
13	饪食器铭文	鼎	杜阳鼎	杜阳，十斤，容一斗大半升。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
13	饪食器铭文	鼎	张氏鼎	张氏鼎,容一斗，并重十斤。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
13	饪食器铭文	鼎	湿成鼎	湿成铜鼎盖,重四斤。（盖）湿成铜鼎,容三斗，重十三斤。（器V《汉金》卷一）	整理者案：本篇亦见《金文续编》。铭文“鼎”字，《陶斋吉金录》卷五、《金文续 编》《秦汉金文汇编》上编所收图版俱作“锍”。又案：王卉《汉代铜器铭文汇总》未 录器铭。	
13	饪食器铭文	鼎	王后中宫鼎	王后中宫，二斗五升少半升。（《汉金》卷一）君昭。（《汉金》卷七）	徐按:“宫”，容氏误释为“官”。整理者案：本篇亦见《金文续编》。《贞松堂集 古遗文补遗》卷下、《金文续编》《历代著录吉金目》页836下栏、页844下栏“宫” 俱作“官”。又王卉《汉代铜器铭文汇总》未录“君昭”条。	
13	饪食器铭文	鼎	孝武庙鼎	孝武庙铜鼎，容二斗，重十一斤。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《贞松堂集古遗文补遗》卷下、《历代著录 吉金目》页837下栏“重十一斤”作“重七斤”。	
14	饪食器铭文	鼎	王长子鼎	王长子鼎，容二斗，重十六斤。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
14	饪食器铭文	鼎	赞鼎	赞，重十斤六两，容一斗一升。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《贞松堂集古遗文》卷十三、《历代著录吉 金目》页839上栏“十斤”皆作“七斤”。	
14	饪食器铭文	鼎	第十三鼎	第十三。重十斤六两，容一斗。（《汉金》卷一）	整理者案:本篇亦见《金文续编》。《从古堂款识学》卷五录本篇，题作“汉器盖”	
14	饪食器铭文	鼎	脩鼎	脩,十一斤十二两，一斗少半。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
14	饪食器铭文	鼎	荀少夫鼎	荀少夫鼎盖，重六斤。（盖）荀少夫铜鼎，容一石，重册三斤。（器八《汉金》卷一）	整理者案：本篇亦见《金文续编》，“荀”作“苟”。王卉《汉代铜器铭文汇总》器 铭脱“冊”字。	
14	饪食器铭文	鼎	法丘鼎	法丘，一斗。阳卅八。重十斤二两。（《续编》）	整理者案：《续编》，即《金文续编》。	
14	饪食器铭文	鼎	中水鼎	中水鼎，容一斗，并重十斤十两。（《汉金》卷一）	整理者案：本篇又见《陶斋吉金录》卷五及《金文续编》。	
14	饪食器铭文	鼎	汝阴鼎（补）	?	整理者案：此器见《陶斋吉金录》卷寻，所附拓片模糊不清，难以辨认。	
14	饪食器铭文	鼎	宜阳鼎	二斤九两口秦口。（盖）宜阳，田二两，二斗。十二斤七两。（器） (《汉金》卷一）	整理者案：本篇又见《金文续编》。“十”、“斤”、“六”三字俱不缺。	
15	饪食器铭文	鼎	二斤九两鼎	?	徐按：文同上，缺“宜阳”二字。容氏疑即前器。整理者案：《历代著录吉金 目》页839下栏“十二斤六”四字俱全，亦缺“宜阳”二字，此与宜阳鼎不同。余皆 同宜阳鼎。原注：“《汉金》一.二十《汉器）X疑即宜阳鼎，但铭文缺‘宜阳’二字。”	
15	饪食器铭文	鼎	平恩侯鼎	平恩侯家铜鼎一,容一斗，并重九斤。（《续编》）	整理者案：《续编》即《金文续编》。	
15	饪食器铭文	鼎	荧阳鼎	荧阳。百三。一斗，四斤十四两十四朱(铢（《汉金》卷一）	整理者案：本篇亦见《金文续编》。铭文“十四两”，《贞松堂集古遗文》卷十三 作“十二两”。“朱”假借为“铢”字。	
15	饪食器铭文	鼎	犛车宫鼎（一）	犛成，一斗，八斤。册五。[犛八斤容一。](盖）犛车宫鼎，容一斗一升，重八 斤。名口。（器八《汉金》卷一）	整理者案：本篇亦见《金文续编》。“冊五”下，《金文续编》注云：“下有‘犛八 斤容一’五字，刻画甚细。”而《陶斋吉金录》卷五、《历代著录吉金目》页8抑下栏 “#五”下亦有“犛八斤容一”五字。故据增。	
15	饪食器铭文	鼎	犛车宫鼎（二）	犛车宫鼎，容一斗，重八斤八两。名衣。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《塞斋集古录》卷十三录本篇，未释 “车”字。	
